fg_pct_home,fg3_pct_home,ft_pct_home,oreb_home,dreb_home,ast_home,stl_home,blk_home,tov_home,pf_home
0.418,0.417,0.711,12.0,23.0,18.0,8.0,11.0,17.0,30.0
0.437,0.268,0.952,9.0,41.0,25.0,2.0,7.0,9.0,12.0
0.471,0.313,0.87,7.0,33.0,22.0,7.0,4.0,16.0,22.0
0.438,0.344,0.696,12.0,29.0,17.0,7.0,2.0,10.0,19.0
0.425,0.1,0.727,6.0,28.0,20.0,10.0,3.0,10.0,22.0
0.452,0.293,0.826,12.0,34.0,26.0,7.0,3.0,14.0,20.0
0.36,0.25,0.735,18.0,33.0,20.0,8.0,7.0,15.0,30.0
0.488,0.444,0.875,15.0,32.0,25.0,4.0,5.0,13.0,23.0
0.403,0.364,0.686,14.0,32.0,14.0,6.0,3.0,11.0,23.0
0.425,0.25,0.75,10.0,27.0,17.0,13.0,6.0,20.0,20.0
0.468,0.438,0.586,11.0,34.0,22.0,8.0,7.0,16.0,21.0
0.521,0.417,0.8,8.0,32.0,33.0,15.0,13.0,16.0,22.0
0.365,0.059,0.889,12.0,33.0,11.0,8.0,9.0,14.0,17.0
0.543,0.563,0.724,4.0,31.0,28.0,13.0,4.0,15.0,23.0
0.37,0.314,0.789,10.0,23.0,20.0,7.0,3.0,4.0,22.0
0.451,0.167,0.769,11.0,40.0,23.0,4.0,4.0,17.0,16.0
0.473,0.25,0.741,8.0,34.0,21.0,5.0,4.0,13.0,14.0
0.438,0.48,0.833,9.0,22.0,18.0,8.0,0.0,11.0,21.0
0.363,0.3,0.706,21.0,35.0,18.0,12.0,7.0,13.0,21.0
0.479,0.467,0.667,14.0,36.0,20.0,2.0,4.0,14.0,16.0
0.482,0.267,0.714,10.0,29.0,21.0,7.0,4.0,16.0,16.0
0.482,0.273,0.727,11.0,35.0,27.0,10.0,6.0,11.0,22.0
0.474,0.227,0.75,5.0,28.0,22.0,13.0,5.0,19.0,21.0
0.42,0.234,0.733,7.0,30.0,24.0,7.0,6.0,14.0,16.0
0.425,0.389,0.829,20.0,30.0,24.0,2.0,7.0,9.0,23.0
0.506,0.5,0.783,6.0,41.0,24.0,10.0,5.0,13.0,18.0
0.407,0.3,0.636,12.0,32.0,23.0,5.0,9.0,14.0,20.0
0.459,0.321,0.889,13.0,28.0,18.0,9.0,4.0,15.0,21.0
0.444,0.5,0.667,11.0,31.0,23.0,8.0,1.0,11.0,17.0
0.558,0.412,0.696,8.0,26.0,22.0,12.0,3.0,16.0,22.0
0.533,0.217,0.706,6.0,29.0,20.0,8.0,6.0,15.0,22.0
0.5,0.429,0.8,13.0,33.0,28.0,5.0,4.0,14.0,25.0
0.474,0.39,0.789,12.0,38.0,24.0,8.0,9.0,11.0,25.0
0.531,0.52,0.923,10.0,43.0,31.0,11.0,11.0,21.0,27.0
0.375,0.444,0.722,10.0,35.0,17.0,12.0,1.0,14.0,14.0
0.443,0.281,0.76,11.0,27.0,21.0,10.0,7.0,18.0,23.0
0.354,0.273,0.688,9.0,32.0,20.0,5.0,6.0,13.0,20.0
0.494,0.513,0.846,6.0,38.0,30.0,5.0,8.0,13.0,22.0
0.449,0.238,0.733,4.0,37.0,19.0,10.0,6.0,15.0,25.0
0.506,0.333,0.885,10.0,34.0,26.0,6.0,2.0,11.0,25.0
0.347,0.154,0.8,20.0,29.0,14.0,4.0,1.0,15.0,11.0
0.453,0.357,0.85,9.0,32.0,24.0,4.0,4.0,13.0,18.0
0.558,0.333,0.619,10.0,26.0,24.0,9.0,5.0,15.0,19.0
0.467,0.409,0.708,9.0,31.0,26.0,13.0,7.0,12.0,20.0
0.523,0.419,0.714,9.0,38.0,31.0,8.0,5.0,11.0,17.0
0.59,0.333,0.773,8.0,37.0,36.0,10.0,8.0,13.0,18.0
0.512,0.308,0.643,9.0,27.0,32.0,8.0,2.0,14.0,19.0
0.472,0.294,0.667,13.0,27.0,23.0,10.0,7.0,13.0,17.0
0.424,0.286,0.762,13.0,32.0,19.0,9.0,7.0,17.0,23.0
0.527,0.455,0.905,10.0,31.0,34.0,11.0,3.0,15.0,21.0
0.427,0.393,0.789,16.0,35.0,21.0,9.0,6.0,12.0,20.0
0.458,0.423,0.741,10.0,31.0,19.0,10.0,3.0,16.0,18.0
0.538,0.464,0.591,6.0,23.0,31.0,16.0,7.0,13.0,15.0
0.539,0.444,0.815,10.0,30.0,32.0,8.0,3.0,11.0,21.0
0.455,0.28,0.794,9.0,35.0,20.0,5.0,7.0,12.0,26.0
0.472,0.375,0.652,15.0,32.0,27.0,5.0,1.0,18.0,22.0
0.455,0.214,0.833,9.0,40.0,25.0,3.0,5.0,9.0,12.0
0.416,0.313,0.75,6.0,25.0,15.0,11.0,6.0,13.0,16.0
0.513,0.385,0.938,11.0,23.0,22.0,5.0,5.0,15.0,21.0
0.469,0.341,0.706,9.0,26.0,26.0,9.0,0.0,13.0,16.0
0.458,0.389,0.818,11.0,31.0,20.0,11.0,2.0,17.0,18.0
0.414,0.231,0.714,15.0,37.0,27.0,8.0,6.0,15.0,28.0
0.5,0.25,0.385,16.0,32.0,30.0,8.0,5.0,11.0,20.0
0.385,0.417,0.857,9.0,28.0,23.0,9.0,6.0,17.0,11.0
