,NAME,TEAM,POS,AGE,GP,MPG,MP%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,Year
120,Derrick Rose,Nyk,PG,28,64,32.5,67.8,25.8,0.119,253,0.874,917,0.487,60,0.217,0.53,18,3.8,6.4,4.4,22.8,0.69,0.27,8.2,2016
121,Derrick Williams,Mia,PF,25,25,15.1,31.4,20.4,0.081,50,0.62,92,0.489,45,0.2,0.465,5.9,2.9,10.7,0.6,5.6,0.36,0.2,5.8,2016
122,Derrick Williams,Cle,PF,25,25,17.1,35.6,14.4,0.101,39,0.692,55,0.6,52,0.404,0.628,6.2,2.3,7.4,0.6,4.7,0.2,0.12,4.8,2016
123,Devin Booker,Pho,SG,20,78,35,72.9,28.6,0.129,441,0.832,1026,0.447,405,0.363,0.531,22.1,3.2,5,3.4,16.3,0.92,0.27,7.1,2016
124,Devin Harris,Dal,PG,33,65,16.7,34.8,19.7,0.125,129,0.829,164,0.476,177,0.328,0.549,6.7,2,6.8,2.1,20,0.66,0.11,7.3,2016
125,Dewayne Dedmon,San,C,27,76,17.5,36.5,12.3,0.169,93,0.699,259,0.622,0,0,0.645,5.1,6.5,21.1,0.6,4.8,0.49,0.82,6.2,2016
126,Deyonta Davis,Mem,C,20,36,6.6,13.8,12,0.127,18,0.556,47,0.511,0,0,0.528,1.6,1.7,14.4,0.1,1.3,0.08,0.47,3.9,2016
127,Dion Waiters,Mia,SG,25,46,30.1,62.7,26.3,0.125,127,0.646,448,0.438,215,0.395,0.507,15.8,3.3,6.1,4.3,23.8,0.91,0.43,8.1,2016
128,Dirk Nowitzki,Dal,PF,38,54,26.4,54.9,25.8,0.066,112,0.875,469,0.463,209,0.378,0.529,14.2,6.5,14.4,1.5,10.6,0.56,0.7,7.8,2016
129,Domantas Sabonis,Okc,PF,20,81,20.1,42,15.5,0.14,67,0.657,322,0.438,159,0.321,0.469,5.9,3.5,9.7,1,7.2,0.48,0.4,5.5,2016
130,Donatas Motiejunas,Nor,PF,26,34,14.1,29.3,17.6,0.163,49,0.51,91,0.505,47,0.234,0.47,4.4,3,11.1,0.9,9.7,0.53,0.32,6.5,2016
131,Dorian Finney-Smith,Dal,PF,23,81,20.3,42.2,11.6,0.111,61,0.754,142,0.479,191,0.293,0.486,4.3,2.7,7.9,0.8,6,0.64,0.3,4.1,2016
132,Doug McDermott,Chi,SF,25,44,24.5,51,17.6,0.074,67,0.881,223,0.493,150,0.373,0.555,10.2,3,6.5,1,6.5,0.25,0.09,5.1,2016
133,Doug McDermott,Okc,SF,25,22,19.5,40.7,13.7,0.043,17,0.706,66,0.53,59,0.356,0.547,6.6,2.2,6.3,0.6,4.4,0.09,0.05,4.2,2016
134,Dragan Bender,Pho,PF,19,43,13.3,27.8,14.4,0.162,11,0.364,60,0.483,101,0.277,0.44,3.4,2.4,9.8,0.5,5.5,0.23,0.53,4.8,2016
135,Draymond Green,Gol,PF,26,76,32.5,67.7,16.2,0.198,213,0.709,388,0.492,263,0.308,0.521,10.2,7.9,13.3,7,27.6,2.03,1.38,10.2,2016
136,Dwight Howard,Atl,C,31,74,29.7,61.9,19.2,0.175,424,0.533,611,0.635,2,0,0.627,13.5,12.7,23.5,1.4,7.8,0.86,1.24,8.4,2016
137,Dwight Powell,Dal,C,25,77,17.3,36.1,16.7,0.072,141,0.759,303,0.571,74,0.284,0.588,6.7,4,13.3,0.6,6.1,0.79,0.51,5.8,2016
138,Dwyane Wade,Chi,SG,35,60,29.9,62.2,29.6,0.113,281,0.794,810,0.456,145,0.31,0.508,18.3,4.5,8.1,3.8,22.3,1.43,0.68,9.1,2016
139,Ed Davis,Por,PF,27,46,17.2,35.7,12,0.172,81,0.617,142,0.528,0,0,0.563,4.3,5.3,17.2,0.6,4.6,0.33,0.48,5.6,2016
140,Elfrid Payton,Orl,PG,22,82,29.4,61.3,21.6,0.15,211,0.692,766,0.509,146,0.274,0.52,12.8,4.7,8.7,6.5,35.7,1.07,0.49,9.9,2016
141,Elijah Millsap,Pho,SG,29,2,11.6,24.1,17.9,0.202,2,0.5,5,0.2,2,0,0.19,1.5,3,14.1,0.5,5.5,0,0,4.5,2016
